Platform,Discounts,Coupons
Gosht Haleem (Mutton Haleem - 1200gms),1229,N/A
Gosht-e-Haleem & Bread combo,459,N/A
Murgh-e-Haleem & Bread combo,399,N/A
Dum Gosht Biryani & Gosht-e-Haleem combo,929,N/A
Lazeez Bhuna Murgh Biryani & Murgh-e-Haleem combo,649,N/A
Toofani Veg Biryani Combo (Serves 1),379,N/A
Toofani Non-Veg Biryani Combo (Serves 1),449,N/A
Royal Murgh Curry Combo (Serves 1),369,N/A
Shabnami Murgh Lababdar,299,199
Paneer Lababdar,279,199
Aftaabi Murgh Tikka Masala,299,199
Aftaabi Paneer Tikka Masala,279,199
Aftaabi Mushroom Masala,289,199
Rumali Roti,89,N/A
Nafees Laccha Paratha (Pack of 2),89,N/A
Nafees Laccha Paratha (Pack of 4),169,N/A
Dilkhush Narm Kulcha (Pack of 2),89,N/A
Dilkhush Narm Kulcha (Pack of 4),169,N/A
Afreen Basmati Rice (300 gm),79,N/A
Durbari Tawa Paratha (Pack of 3),89,N/A
Shaandaar Murgh Curries Combo (Serves 2),899,N/A
Shaandaar Paneer Curries Combo (Serves 2),879,N/A
Rivayati Murgh Curry Combo (Serves 2),625,N/A
Rivayati Paneer Curry Combo (Serves 2),605,N/A
Royal Paneer Curry Combo (Serves 1),349,N/A
Royal Paneer Daawat Combo (Serves 2),649,N/A
Mughlai Gravy,49,N/A
Mint Raita (80 gm),39,N/A
Khasta Murgh Samosa (Chicken Samosa),169,N/A
Coke Zero 330 ml Can,66.50,N/A
Coca Cola Bottle (475 mL),66.50,N/A
Thums Up Can (330 mL),66.50,N/A
Ayran (Buttermilk),65,N/A
Masala Lemonade (200 mL),49,N/A
Jeera Masala Soda (350 mL),57,N/A
Gulab Jamun (Pack Of 2),65,N/A
Moong Dal Halwa (80 gm),99,N/A
Moong Dal Halwa (300gm),299,N/A
Gulab Jamun Box (Pack of 10),315,N/A
Gajar Halwa (80 gm),89,N/A
Chocolate Cheesecake Slice,199,N/A
Gulab Jamun - Pack of 1,39,N/A
Gujiya (Pack of 2),99,N/A
Gujiya (Pack of 4),169,N/A
Belgian Chocolate Ice Cream,99,N/A
Salted Caramel Ice Cream,99,N/A
Strawberry Ice Cream,99,N/A
Vanilla Ice Cream,99,N/A
Kesar Thandai Ice Cream,99,N/A
Dry Fruit Kulfi Ice Cream,99,N/A
Alphonso Mango Ice Cream,99,N/A
