name,MRP
Veg Classic Wrap with Side and Beverage Meal,₹189
Veg Classic Wrap with Side Mini Meal,₹149
Non-Veg Classic Wrap with Side and Beverage Meal,₹209
Non-Veg Classic Wrap with Side Mini Meal,₹159
Veg Signature Meal,₹299
Veg Classic Meal,₹249
Masala Paneer Tikka Wrap & Wedges Mini Meal,₹269
Veg Classic Wrap & Wedges Meal at 189,₹189
Veg Shawarma and Side Meal .,₹259
Non-Veg Shawarma with Side and Beverage Meal .,₹289
Non-Veg Shawarma and Side Meal .,₹269
Veg Classic Wrap and Beverage Meal at 139,₹139
Veg Classic Wrap & Fries Meal at 209,₹219
Non-Veg Signature Meal,₹359
Non-Veg Classic Meal,₹279
Chicken Bhuna Wrap & Wedges Mini Meal,₹279
Non-Veg Classic Wrap & Wedges Meal at 189,₹189
Non-Veg Classic Wrap and Beverage Meal at 139,₹139
2 Masala Paneer Tikka Wrap with Fries & Coke Meal,₹469
2 Chicken Bhuna Wrap with Fries & Coke Meal,₹479
Veg Classic Wrap & Coke Mini Meal,₹179
Veg Signature Wrap & Coke Mini Meal,₹269
Non Veg Classic Wrap & Coke Mini Meal,₹199
Non-Veg Signature Wrap & Coke Mini Meal,₹279
Chicken Bhuna Rice Feast (Regular),₹249
Egg Rice Bowl (Regular),₹179
Dal Makhani Rice Bowl (Regular),₹169
Dal Makhani Rice Bowl (Jumbo),₹219
Rajma Masala Rice Bowl (Regular),₹189
Rajma Masala Rice Bowl (Jumbo),₹255
Paneer Signature Rice Bowl (Regular),₹259
Smoked Butter Chicken Rice Bowl (Regular),₹279
Pindi Chole Signature Rice Bowl (Regular),₹219
Paneer Signature Rice Bowl (Jumbo),₹315
Mutton Bhuna Rice Bowl (Regular),₹339
Chicken Signature Rice Bowl (Regular),₹259
Royal Chicken Rice Bowl (Jumbo),₹365
Smoked Butter Chicken Rice Bowl (Jumbo),₹375
Chicken Signature Rice Bowl (Jumbo),₹349
Pindi Chole Signature Rice Bowl (Jumbo),₹279
Chicken Keema Rice Feast (Regular).,₹209
French Fries,₹119
Potato Wedges,₹79
Chicken Popcorn,₹125
Chicken Strips,₹199
Teekha Chaska French Fries,₹119
Chipotle Cheese Wedges,₹139
Potato Chilli Shots with Mayo Dip,₹109
Falafel Shots (6 pieces),₹69
Cheesy Chicken Meatballs,₹139
Teekha Chaska (Pack of 20),₹200
Teekha Chaska Sausages,₹139
Lemon Ice Tea (250 mL),₹59
Lemon Soda (250 mL),₹49
Thums Up Can (330 mL),₹66.50
Masala Lemonade (200 mL),₹49
Skimmed Mint Buttermilk,₹50
Coca Cola Bottle (475 mL),₹66.50
Coke Zero 330 ml Can,₹66.50
Jeera Masala Soda (350 mL),₹57
Walnut Brownie,₹99
Choco Chip Brownie,₹99
Choco Lava Cake,₹99
New York Cheesecake,₹179
Mango Cheesecake,₹199
Blueberry Cheesecake,₹199
Chocolate Mocha Jar,₹149
Biscoff Cheesecake Slice,₹199
Rich Red Velvet Pastry,₹139
Moong Dal Halwa (80 gm),₹99
Gajar Halwa (80 gm),₹89
Belgian Chocolate Ice Cream,₹99
Dry Fruit Kulfi Ice Cream,₹99
Alphonso Mango Ice Cream,₹99
Kesar Thandai Ice Cream,₹99
Gajar Halwa,₹89
Crispy Baked Pindi Chole Wrap,₹155
Crispy Baked Chicken Bhuna Wrap,₹228
Crispy Baked Masala Paneer Tikka Wrap,₹219
Crispy Baked Malai Chicken Kebab Wrap,₹249
Crispy Baked Cheese Melt Paneer Wrap,₹229
Crispy Baked Indie Chatpata Aloo Wrap,₹129
Crispy Baked Cheesy Corn Salsa Wrap,₹199
Crispy Baked Egg Cheese Chicken Sausage Wrap,₹195
Crispy Baked Masala Chicken Tikka Wrap,₹228
