Platform,Discounts,Coupons
Punjabi Butter Chicken Mac N Cheese Pasta,375,N/A
Kheema & Sausage Mac N Cheese Pasta,320,N/A
Mac N Cheese Paneer Tikka Pasta,299,N/A
Chicken Overload Lasagna,349,N/A
Chicken Kheema Lasagne,325,N/A
Butter Chicken Lasagna,325,N/A
Corn & Pepper Lasagne,299,N/A
Amritsari Paneer Tikka Lasagne,299,N/A
Masala Lemonade (200 mL),49,N/A
Jeera Masala Soda (350 mL),57,N/A
Coca Cola Bottle (475 mL),66.50,N/A
Thums Up Can (330 mL),66.50,N/A
Lemon Soda (250 mL),59,N/A
Choco Lava Cake,99,N/A
Biscoff Cheesecake Slice,199,N/A
New York Cheesecake,179,N/A
Death by Chocolate Cake Jar,149,N/A
Mango Cheesecake,199,N/A
Blueberry Cheesecake,199,N/A
Choco Chip Brownie,99,N/A
Walnut Brownie,99,N/A
Choco Lava Cake + Coke (475 ml) (Save 10%),159,N/A
Choco Lava Cake + Lemon Soda (Save 10%),129,N/A
Belgian Chocolate Ice Cream,99,N/A
Salted Caramel Ice Cream,99,N/A
Strawberry Ice Cream,99,N/A
Vanilla Ice Cream,99,N/A
Kesar Thandai Ice Cream,99,N/A
Dry Fruit Kulfi Ice Cream,99,N/A
Alphonso Mango Ice Cream,99,N/A
